review,sentiment
morgan freeman and paz vega are the mismatched pair who get in the car and go about doing errands according to the need of one or the other  morgan freeman is superbly human  relating with one and all  while paz vega is the edgy cashier behind the     items or less  check out line  intimidating customers and bored out of her mind  together they explore  discover  and learn from each other  to do that of course they must be vulnerable  interested in change  and have a sense of humour  all of which they both have  i wish this film was realistic  i wish this type of story happened more often  i wish we didn t have to go to the movies to realize that we can indeed connect with each other even if we come from vastly different backgrounds  the film s message is based in the open heart  and makes us wonder about the possibility of another world where we meet each other from there   a world where peace could be a possibility ,1
this blaxploitation classic about a kung fu mama who travels to hong kong to avenge her brother s death offers everything you learned to expect from the genre  playmate jeannie bell  with a giant afro  really kicks ass and usually loses her clothes very quickly  if you don t take it all too seriously  the movie is great fun to watch  stan shaw gives a solid performance  jeannie bell is a little less convincing  pam grier she ain t this is where quentin tarantino got his idea for the light switch scene in  jackie brown  from the soundtrack by don julian is a gem and is frequently used in rap songs ,1
child death and horror movies will always remain a sensitive   controversial combination and therefore it is my personal opinion that every movie that shows the courage to revolve on this topic should receive some extra attention from horror fans  of course  like in the case of  wicked little things   controversial themes don t always guarantee a good film  despite the potentially interesting plot  the atmospheric setting and the involvement of video nasty director j s  cardone   the slayer    this is an uninspired and clich  ridden film that couldn t offer a single fright or shock  after losing their husband and father  the remaining tunny women  mother karen and her daughters sarah and emma  move to a small and remote pennsylvanian mountain town where they inherited an old  ramshackle mansion  their new home is dangerously close to the old mine ruins where dozens of innocent children tragically lost their lives in       strange things start to happen  like young emma befriending an  imaginary   girl who used to live in their house  and the eerie locals seem to keep secrets from karen and her daughters  quickly turns out that the undead children still leave their mine graves at night to seek vengeance on the descendants of the mine s owner mr  carlton  who was responsible for their deaths   wicked little things  is rather tame and extremely predictable  the script shamelessly serves one dreadful clich  after the other  like car wheels stuck in the mud at crucial times  malfunctioning flashlights and horridly broken dolls  there s very little suspense  even less gore and the make up effects are disappointingly weak  the zombified children don t look menacing at all  actually  they all look like miniature versions of marilyn manson  with their black outfits  pale faces and dark eyes  the excitement free finale is stupid and just as derivative as the rest of this pointless production  lori heuring is thoroughly unimpressive in her leading role as the mother  but scout taylor compton  currently a big star thanks to the  halloween  remake  and young chloe moretz are adequate as the daughters ,0
i just watched this for the first time in a long time   i had forgotten both how imaginative the images were  and how witty the movie is  i had not forgotten however the opening scenes which are  with the scene at the candlelight club in waterloo bridge  among the most romantic ever filmed anyone interested in politics or history will love the movie s offhand references   anyone interested in romance will be moved by hunter niven  and anyone who loves visual imagery will enjoy the depiction of the afterworld my favorite movie remains  odd man out  made near the same time   but this one is superb  ,1
the comic banter between william powell and jean arthur is the highlight of this murder mystery  which has one of the most bizarre and unlikely plots ever  powell is probably the most suave detective of the    s  and arthur has a unique voice which often sounds like a succession of tiny tinkly bells  they are extremely fun to watch  so take the brashness of the plot with a grain of salt and just enjoy seeing it unfold  eric blore also has some comic turns as powell s butler powell s contract with mgm included a clause which allowed him to reject being loaned out to another studio  but he wanted to work again with arthur and he liked the script  so he eagerly accepted the assignment  they had worked together in two      paramount films  the canary murder case and the greene murder case  both in the philo vance series ,1
to my surprise i quite enjoyed  spacecamp   i remember seeing it about    years ago  and recently i hired it again  i was quite impressed  obviously the special effects in todays space films such as armageddon and deep impact are far superior to those in spacecamp  however  this film had a story  a very stereotypical eighties story where you could almost recite the next line of dialogue before hearing it  but thats what i liked about it  they don t make films like this anymore  so it was a refreshing change  it was interesting to see kelly preston  leaf phoenix and lea thomson in early roles  with tom skerrit and kate capshaw to add substance to the light   fluffy plot  absolutely loved the robot named jinx  it was very cute  but it unfortunately had more emotion than some of the main characters  the film was almost inspirational in its own way  and it was interesting to note that it was filmed at the nasa spacecamp in alabama  i think  ,1
i saw this kung fu movie when i was a kid  and i thought it was so cool  now i am    years old  and my friend has it on dvd   we got a case of brew  and watched this classic  it lost none of it s original kung fu coolness  if you are a fan of kung fu karate movies  this is a must see    the dvd is available  i believe this movie is also called  pick your poison  watch it soon ,1
evening is an entertaining movie with quite some depth  all the actors and actresses turn in spectacular performances  with the tremendous cast  though  one expects stellar acting  but in this movie the expectations are exceeded  one can relate to personalities and situations in ones own family  as one watches the interaction of the family members one s own family memories are immediately brought to mind  this is one of the few movies that inspires one to read the book  usually it is the other way around  one reads the book and then wants to see the movie  i will definitely obtain a copy of the susan minot book and read it  the rhode island scenery is spectacular as is the soundtrack  any car buff will enjoy the apparently expertly restored period automobiles  needless to say now  but i recommend evening highly  see it you will enjoy it ,1
what a good movie  at last a picture revealing a unknown side of rock  illusions of fame  well known rockers are getting old and forgotten  not the music  and with a good sense of humour  have you ever danced on bill haley s rock around the clock anyway  still crazy is probably the best movie about rock n roll i have ever seen  far much better than spinal tap for instance  why  because in still crazy  people are mature  they have a different point of view about rock  about love and about life  they want to catch up with their crazy youth they miss so much  beyond the story itself  we see characters with their own personality  weaknesses and dreams  like anyone of us spend a good time watching this  listen to the awesome soundtrack   and finally thinking of your own future bye ,1
looking for quo vadis at my local video store  i found this      version that looked interesting  wow  it was amazing  very much a ken russell kind of film  quirky  stylized  very artistic  and of course  different   nero was presented not so much as evil incarnate  but as a wacky  unfulfilled emperor who would rather have had a circus career  he probably wondered why on earth he was put in the position of  leading  an empire  it wasn t much fun  and fun is what he longed for  klause maria bandaur had a tremendous time with this role and played it for all it was worth  yes  nero persecuted the christians with a vengeance  one of many who did so  at one point one of his henchmen murmurs   no one will ever understand we were simply protecting ourselves   he got that right ,1
this is one of those wonderful martial arts movies that begin with two posses of tough gang members facing off in a park  and when the deal goes wrong and the battle starts  it turns out they all know karate and kung fu  the ever wooden cynthia rothrock plays  as usual  a cynical  deadpan  good cop  this time in los angeles  she and her police partners are trying to break up a counterfeiting ring  and when that plot line is exhausted  the story just switches over to something else  and cynthia becomes the personal bodyguard of a wealthy  great looking tycoon  within the film s obviously rock bottom budget  there s some helicopter action  some speedboat action  some car chases  a brawl where cynthia beats up everyone in a country western bar  some swimming pool scenes with bimbos in thong bikinis  and a surprisingly good horseback chase  about a dozen and a half cops get gunned down  a lot of plot twists happen that just don t make any sense  don t worry about them   and counterfeiting currency is a federal crime  so where the hell is the fbi  i guess they were too busy   the fight choreography was done by cynthia rothrock s frequent co star richard taylor  whose classy and witty presence in front of the camera would frankly have made this a better movie  he also tended to make cynthia a better actress when they appeared together  and frankly she could use it  she seems tired and bored  and does her best acting in guardian angel when she is playing opposite a pet dog to whom she delivers bitter drunken monologues  the dog almost out acts her  she also wears some of the most god awful clothing any leading lady has ever worn in any movie  loose  baggy leg jeans with pale acid washed areas over each buttock were the most shocking  the other actors are all over the map  you can picture many of the minor characters being cast this way   hey  me and some other guys i know are going to be in a movie  you wanna be in it too  no  dude  i m serious   then there are the slumming professionals  the most fun is lydie denier  the stunning french model and veteran of  red shoe diaries    baywatch    melrose place   and of playing many  many other variations on the sexy french bombshell  here she plays a psychopathic killer as if she were in baisez moi or an  alias  episode and not some direct to cable trash like this  there s also the tall  dark and handsome daniel mcvicar  now a regular on  the bold and the beautiful   john o leary  who has played a dignified old man in dozens of movies and sitcom episodes and does it again here  and aharon ipale  the veteran arab character actor perhaps best known as  pharaoh seti  from the mummy and the mummy returns  for these professionals  guardian angel must be the most laughable entry on their resumes  i gave this movie a better rating than it probably deserves because my daughters  who are enthusiastic martial arts students  both like to see a woman kicking ass and having the big action scenes for a change  they re still a bit too young to care what a low quality picture this really was  and just enjoyed cheering cynthia on as she did her swivel legged  high kicking  stick fighting thing  if you like this kind of flick  you could probably enjoy it on that level ,0
well  my goodness  am i disappointed  when i first heard news of a remake of robert wise s      film   the haunting   i had a fear that it would be ruined by an abundance of summer movie sized visual effects  but  deep down  i had faith  surely  with such a talented cast intact   de bont and company will not ruin a film  who s original was a fantastic and frightening movie that understood the delicate art of subtlety  well  subtlety  where are you now     my fears have manifested   a promising movie has gone wrong  yes  eugenio zannetti s production design is jaw dropping  the movie is wonderfully photographed  and composer jerry goldsmith can never ever do wrong  but  the script puts it s fine actors to the test  asking them to deliver the kind of stilted dialogue that is only spoken in movies  in the end  the always wonderful lili taylor is the only performer to escape with some dignity   and that s just barely  but  the crime of all crimes is that the horror is shown to us  we can no longer use our imaginations  feel that horrible dread of fear of the unknown  no  we get some visual effects to show us what we re supposed to be afraid of   and you know what  as wonderfully realized as they are   the visual effects come off as sort of silly  and the climax is a phantasmogoric mess   but things had gone terribly wrong long before that  everything in the haunting is overdone and overblown  i m afraid there are no real thrills or creaks in this old haunted house monstrosity   only groans  check out the original instead ,0
one of the best parts of sundance is seeing movies that you would otherwise almost certainly miss  unless you re a real art house devotee  you probably don t catch many documentaries  only a handful get any recognizable distribution  fortunately  sundance has increased its commitment to documentaries in recent years shakespeare behind bars is a powerful documentary about a dramatic production group at the luther luckett correctional complex in lagrange  kentucky  every year a group of inmates present a shakespearean play  director hank rogerson and his crew follow the troupe as roles are self selected  interpreted  rehearsed and ultimately performed the movie is filled with fascinating revelations for those of us that have not been exposed to prison environments  despite the labels we know them by  convict  felon  murderer  etc   we soon began to appreciate and respect these men as thinking feeling human beings  serendipitously  the play chosen for the year of filming was the tempest  with its penetrating focus on forgiveness and redemption  the actors all grapple with the relevance of the play to their lives  finding patterns and parallels with their characters and the meaning of the drama for a documentary film  like a book  the best that can be hoped for is that we experience something that changes our lives  shakespeare behind bars was a personal revelation for me   o brave new world  that has such creatures in it  ,1
i am usually a big fan of pacino  scarface  serpico  devils advocate  but since scent of a woman he pretty much plays the same role and shouts a lot  this movie had no endearing characters to warm to  brandon played by bongo mcconnahey is the least likable of the bunch  he nowhere even approached a real human being  pacino was hopelessly unlikeable and my goodness how old is renee russo  the only high light of this wretched mess was the hot hooker with the perfect lipstick and she has like    lines total  even the usually reliable jeremy piven was utterly unlikeable note to writers of movies  they do not usually work unless one of the main characters is at least a bit likable  noteable exception scarface   as the movie closes and old brandon is at the airport my only thought was  please let a plane crash into the airport and kill brandon ,0
it was so disjointed   it seemed to jump from place to place   and the  thief  was obvious  it was a poor man s  not to mention high school   less than zero   i would pass on this movie as it has very little to add  so many issues are left unresolved  and that s okay   but the fact that it jumps around to the point where you wonder what s exactly going on is terrible  the voice over is needed because the movie doesn t work on its own  avoid this movie  and watch something else about rich teen angst  i m sure there are plenty of others to watch  don t waste your time on this ,0
being a fan of saint etienne and the city of london  i was very excited to see this movie on the list of the vancouver international film festival  this movie has great shots  an absolutely excellent soundtrack and interesting insights into a  not so well known  london the movie is held completely in  dark  colours  which i personally don t like too much  furthermore the narration was a little too british and the comments sometimes got a little flat  other than that  there are some great comments by londoners and excellent shots  finisterre doesn t glorify london by showing all the great attractions of the city  but rather gives deep insights in what london is really like  from the east end to the vibrant centre with its music scene as well as the  special little retreats  for londoners all in all  great soundtrack  nice shots  great insights narration  tiering to watch at times  very dark pictureworth watching  i give it a     ,1
i find this film meretricious  tentative  lethargic  and skillfully a bad choice of entertainment on celluloid  but i admire the courage to throw away a script  turn the camera on  and act a fool  i find the inauspiciously performances  lighting  cinematography  sound  and whatever film school laws d  urville martin broke funny  speaking from a film directors perspective there is times i just want to drop everything and have fun on the set  this film looks like fun  when other aspiring film directors ask me advice i just tell them to watch any film by rudy ray moore  they always return a puzzled look asking me why not watch the masters woody allen  scorsese  lucas  capra  i laugh and include that you always want to know what not to do in cinematic story telling first ,1
this is truly an excellent film with a revolutionary message  both in form and content  that should not be missed by any fan of french new wave or underground film  there are barely opening or closing credits  we are just dropped into the world of consumerist art  revolution  and youth  this film has little to do with documentary and is more interesting in playing with our ideas of advertising and its relationship to reality  lines of real and not real are crossed in ways familiar with films discussing documentary  but this time we do it for the sake of consuming and marketing  not for describing the real ,1
when it first came out  this work by the meysels brothers was much criticized and even judged to be exploitation  luckily  it is now hailed as a masterpiece of documentary cinema  especially now that society has been exposed to real exploitation in what is reality television  and the bad evolution of most direct cinema really  at first  we must say that this isn t really direct cinema  it is more cinema verit   the difference between the two is very slight  but it mainly is the fact that in this documentary  we are made to feel the presence of the meysels brothers  and they do interact with the characters filmed  this as well makes it clear that it is not exploitation  the meysels have been allowed in the house  and they are included in what is a very eccentric situation of a very eccentric household  and both edith and edie just love the idea of being filmed it would have been very disappointing had very been shown only a voice of god narration and shallow interviews  here  we are given a full portrait of the madness of the house  a madness that does seem to go down well with both edie and her mother edith  their house is a mess  litter and animals everywhere  faded colors and furniture all over the house  and the constant fights that are constant interactions of reality  these two people have lived with each other their whole life  and are not fighting in front of the camera because they want the attention  but rather because they can t help talking to each other this way  they know each other too well to hide their inner feelings  there is no need  in the end  though  even as they blame each other for their lives  they really love each other deeply  edie says she doesn t want her mother to die  because she loves her very much  and edith says that she doesn t want edie to leave her because she doesn t want to be alone but the most interesting aspect of the film is that regardless of their old age  the two women can t help be girls  they cannot help being one the singer  the other the dancer  exhibit all their artistic skills in front of their camera  when edie asks david meysels rhetorically  where have you been all my life   she is really very happy that she finally gets to show the whole world herself and her wonderful showgirls skills  a beautiful portrait of stylistic importance and a charm that is highly unlikely to be ever seen again  the way only the meysels and few others could do ,1
this movie was made in       but it still rings true today  very  very funny  it begins with a family wanting to buy a little place in the country and it  builds  from there  anyone who has ever built a house  will find this movie very endearing  great cast  cary grant and myrna lloyd are delightful in this film  this is a classic black and white film that reflects the grand style of the    s    clothing  architecture and family life  many references are made to the cost of things  and those comparisons to today s costs are pretty amazing  i can t imagine anyone not enjoying this movie completely  i am surprised of the number of middle aged people who have never heard of it  a true classic ,1
and the worst part is that it could have been good  but something horribly wrong  first thing first  they should not have cast amitabh bachchan in this film at all  he is too much of an icon to tackle such a delicate and controversial topic let alone the role itself  secondly  ram gopal varma ought to be ashamed of himself for taking the classic story of lolita and turning it into a pathetic predictable slut fest  his lolita is named jia  played by newcomer jiah khan  and when we meet her  she is devoid of any inkling of stolen innocence or that delicate naivety that one would normally associate with the complicated tale of the original lolita who in the original story  gradually becomes nymphet  varma s jia is already a whore with her eye on the prize even even before the camera meets her  and he exercises no chastity in the way his films his leading nymphet  from constant panning shots of her crotch to fixations on her vulgar gestures and mannerisms  mr  varma makes sure he has left not one person in the audience less than uncomfortable with his voyeuristic pedophile camera angles  oh and let s not talk about the non existent chemistry between jia and her so called friend ritu  bachchan s character s daughter   these girls are supposed to be best friends yet look like worst enemies even before anything goes wrong between them  nothing they do together is believable until they become enemies  maybe mr  varma should have worked on that aspect of his script rather than focusing on destroying any credibility amitabh bachchan might have had left as an actor  the worst part of the movie is perhaps the subservient portrayal of the character of bachchan s character s wife  her role was so underwritten and ridiculously wooden that it s impossible to actually feel any pity or concern for her  i actually felt like reaching into the screen slapping her for not reacting like any normal woman would  instead she just stood there looking irritated and helpless  as i imagine much of the viewers of this film might feel after watching this train wreck of a film  watch at your own risk ,0
che  part one was a fascinating experiment  which did not only tell a very interesting story  but it also tried to do something different with the  biopic  genre che  part two is the excellent culmination of this experiment this movie offers all of the same attributes from the first one  from the extraordinary performances  specially from benicio del toro  to steven soderbergh s brilliant direction  without forgetting its intention of breaking with the conventional rules from the biopics that is what i admire from soderbergh s experiments   they always try to do something different and unusual  and they succeed most of the times the final message from this film is perfect  and it includes everything we have been told about che guervara s life the only fail i found on che  part two is that a few parts felt a bit irrelevant in summary  i give che  part two a very enthusiastic recommendation because  as the first one  it is a brave and fascinating experiment which challenges the spectator and leaves us thinking ,1
